游族网络,文案宣传,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（高级）系统策划（表现策划）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,3D动画师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,次世代场景模型师（市场中心）,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,绑定师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级模型师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,次世代角色模型师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,副总裁助理（兼HRBP助理）,0.7-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,算法工程师,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏研发文案策划,1-1.6万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,机电工程主管,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,UE4特效师（市场中心）,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,会议室管理员（helpdesk）（实习）,2.6-2.8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深场景原画,0.8-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,美宣高级专家,1.8-2.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,新媒体策划经理,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级影视特效师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Business Analyst 海外战略业务分析( 海外留学背景),1.1-1.3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级角色特效师（市场中心）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Cocos2d-x开发工程师,1.5-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（资深）H5前端开发工程师,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深角色原画（日韩二次元）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,技术美术总监,3-4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深媒介专员,1-1.6万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Java开发工程师（运维）,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏策划实习生,2.6-2.8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,用户运营（直播向）,0.6-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级运营策划（版本管理方向）（环球工作室）,0.8-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,财务主管（上海游戏行业协会）,1-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,手游客户端软件开发工程师（游创在孵企业）,0.8-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,商业产品经理,1-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,产品负责人,5-7万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,CRO助理（首席风控官助理）,0.5-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,引擎专家,3-4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏项目PM,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,TA技术美术专家,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,客服主管（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,app产品经理（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,C++开发专家,3-4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级客服专员（金融事业部）,6-8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,风控总监（金融事业部）,3-4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,数据库开发工程师（游戏服务器及数分工具）,1.5-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,催收经理（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,平面设计,0.8-1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级共享中心专员,7-8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,测试工程师（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,用户运营专员（金融事业部）,6-8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级3D动作,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,PHP后端开发工程师（游戏）,0.6-1.1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,PHP后端开发工程师（游戏）,0.6-1.1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深会务管理/行政部,7-8千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深用户运营,0.8-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Java数据工程师（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,执行Unity3d主程序,1.5-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,创意策划经理,2.5-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级3D场景（手绘）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深3D角色（手绘）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,国内广告优化投放,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,海外市场（港澳台）,0.8-1.6万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（高级）C++开发工程师,1-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,高级Unity3D开发工程师,1-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,运维工程师（游戏）,1.1-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Flash开发工程师,0.6-1.1万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,运维产品策划（平台）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,市场策划,0.7-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,测试主管（游戏）,1.1-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,市场策划经理,1.3-2.3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,（高级/资深）运营策划（版本）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,海外客服经理,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深角色原画设计师,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,C++开发主程序,1.6-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏客服实习生,140元/天,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,工程经理,1.6-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,PHP数据开发专家,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,分布式框架JAVA工程师,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,渠道运营,0.8-1.2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,海外市场（英语）,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,测试经理（游戏）,1.6-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Web前端开发专家,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,技术总监,1.6-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,产品经理,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,游戏研发系统策划,1.2-1.8万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,资深公关活动专员（市场中心）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,运营经理,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,3D角色美术设计师,2-2.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,角色原画设计师,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,大数据架构师（金融事业部）,1.5-2万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Java研发工程师（金融事业部）,1-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,创意策划经理,2-3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Android移动开发工程师,1-1.6万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Cocos2d-x工程师/运营中心,4.5-6千/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,Polski Localization,1.2-2.4万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,QA工程师,0.8-1.3万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
游族网络,数据可视化工程师,0.8-1.5万/月,徐汇区宜山路711号2号楼游族大厦
company,job_title,payment,location
