重庆浙商信用担保有限公司,,少于50人,金融/投资/证券,,重庆市渝中区较场口,
广州市高马思商务咨询服务有限公司,,,专业服务(咨询、人力资源、财会),,0,
深圳市百盾电器有限公司,民营公司,少于50人,家具/家电/玩具/礼品,家具/家电/玩具/礼品,深圳市福田区上梅林梅村路2号,
上海龅牙兔儿童情商乐园（总部直聘）,民营公司,150-500人,教育/培训/院校,教育/培训/院校,上海肇嘉浜路825号尚秀商务楼1号楼2楼D座,
济南驰源商贸有限责任公司,,,快速消费品(食品、饮料、化妆品),,济南三孔桥街鲁能康桥10号楼2单元602,
苏州市华宏精密铸造有限公司,民营公司,50-150人,机械/设备/重工,汽车及零配件,江苏省吴江市菀坪镇同安东路49号,
东莞市志兴电子五金有限公司,,,电子技术/半导体/集成电路,批发/零售,0,
信美船舶（大连）有限公司,外资（欧美）,少于50人,贸易/进出口,仪器仪表/工业自动化,辽宁省大连市西岗区菜市街4号振富大厦1705室,
康辉旅游集团济南国际旅行社有限公司,国企,50-150人,酒店/旅游,,济南市泺源大街229号金龙大厦6楼606室,
大连康维科技有限公司,民营公司,50-150人,机械/设备/重工,仪器仪表/工业自动化,大连市沙河口区民政街400号803,
北京盘酷科技有限公司,民营公司,50-150人,互联网/电子商务,,闸北区中山路814弄协和大厦18号1405室,
武汉天马行空科技发展有限公司北京分公司,,,电子技术/半导体/集成电路,,0,
广州曲直装饰设计有限公司,民营公司,150-500人,家居/室内设计/装潢,家居/室内设计/装潢,广州市白云区远景路时代商务大厦C座806室,
上海美狄科实业有限公司,民营公司,少于50人,贸易/进出口,贸易/进出口,0,
西安礼仪商贸有限公司,,,贸易/进出口,,0,
东莞市富雅数码科技有限公司,,500-1000人,电子技术/半导体/集成电路,,东莞市塘厦镇大坪区赣塘路1-301号,
昆明金拓科技有限责任公司,民营公司,少于50人,互联网/电子商务,,,
北京普瑞亿科科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,学术/科研,北京市海淀区四季青路8号郦城工作区416室,
深圳市宝瑞达科技有限公司,民营公司,少于50人,仪器仪表/工业自动化,机械/设备/重工,深圳市龙区植物园路360号商务中心306号,
